Train_No,Journey_Duration_Hours,Total_Distance,Number_of_Stops
11125,11.7,561,11
11126,12.416666666666666,561,11
11201,21.583333333333332,1015,26
11202,21.5,1015,26
11203,2.1666666666666665,1340,28
11204,2.75,1340,28
11205,16.583333333333332,699,20
11206,14.5,699,20
11265,9.0,432,14
11266,8.666666666666666,434,14
11272,17.916666666666668,737,47
11301,0.6666666666666666,1154,35
11302,23.5,1154,34
11303,23.5,989,38
11304,23.166666666666668,987,38
11307,4.583333333333333,221,7
11308,5.0,223,7
11309,6.083333333333333,267,14
11310,5.5,267,14
11401,23.666666666666668,1053,34
11402,23.583333333333332,1052,34
11403,23.0,1026,22
11404,23.75,1026,22
11405,17.0,811,18
11406,18.75,812,18
11407,4.5,1478,17
11408,4.583333333333333,1478,17
11423,8.083333333333334,357,14
11424,8.25,356,14
11447,4.416666666666668,1156,45
11448,1.25,1155,46
11449,8.833333333333334,1561,34
11450,9.5,1564,31
11463,5.666666666666667,1416,50
11464,5.75,1417,50
11465,8.5,1572,49
11466,7.75,1575,50
11651,6.916666666666667,344,14
11652,7.0,345,14
11701,14.833333333333334,751,16
11702,15.416666666666666,751,16
11703,16.916666666666668,823,20
11704,16.083333333333332,821,20
11801,5.083333333333333,215,6
11802,4.916666666666667,215,6
11901,7.166666666666667,292,13
11902,6.666666666666667,294,13
12001,8.5,688,10
12002,8.416666666666666,690,10
12003,6.666666666666667,504,7
12004,6.5,504,7
12005,4.083333333333333,268,5
12006,4.083333333333333,268,5
12007,7.0,498,4
12008,7.166666666666667,499,4
12009,6.333333333333333,490,9
12010,6.666666666666667,490,9
12011,4.083333333333333,268,6
12012,4.166666666666667,268,6
12013,6.0,447,8
12014,6.0,447,8
12015,6.666666666666667,442,10
12016,6.916666666666667,442,10
12017,5.916666666666667,314,8
12018,5.75,314,8
12019,7.166666666666667,436,10
12020,7.75,434,10
12021,6.75,402,10
12022,7.083333333333333,401,11
12023,8.666666666666666,530,14
12024,7.833333333333333,531,14
12025,8.5,598,8
12026,8.416666666666666,598,8
12027,5.0,360,4
12028,5.0,361,4
12029,6.416666666666667,447,8
12030,6.25,447,8
12031,6.416666666666667,447,8
12032,6.25,447,8
12033,5.333333333333333,430,5
12034,4.916666666666667,430,4
12035,3.5,240,4
12036,3.6666666666666665,240,4
12037,5.416666666666667,328,7
12038,5.5,328,7
12039,5.5,283,8
12040,5.666666666666667,283,8
12041,8.25,560,7
12042,8.083333333333334,560,7
12043,7.083333333333333,397,8
12044,7.166666666666667,397,8
12045,3.5,243,4
12046,3.4166666666666665,243,4
12047,6.5,385,10
12048,7.333333333333333,385,10
12049,1.6666666666666667,181,2
12050,1.6666666666666667,183,2
12051,8.666666666666666,581,9
12052,8.583333333333334,585,9
12053,7.333333333333333,406,11
12054,7.333333333333333,406,11
12055,5.833333333333333,304,9
12056,6.166666666666667,304,10
12057,7.583333333333333,386,14
12058,7.0,386,14
12059,6.583333333333333,447,10
12060,6.75,450,10
12061,5.25,330,10
12062,5.5,330,10
12065,6.833333333333333,389,10
12066,6.916666666666667,389,10
12067,6.833333333333333,376,11
12068,6.833333333333333,375,11
12069,7.0,419,15
12070,7.0,411,15
12071,7.5,422,7
12072,7.75,422,7
12073,6.916666666666667,442,9
12074,6.666666666666667,441,9
12075,7.416666666666667,399,12
12076,7.0,398,12
12077,7.166666666666667,453,10
12078,7.25,453,10
12079,7.416666666666667,470,11
12080,7.416666666666667,468,11
12081,9.166666666666666,500,15
12082,9.166666666666666,499,15
12083,6.416666666666667,361,10
12084,6.5,361,10
12085,9.083333333333334,506,10
12086,8.916666666666666,505,10
12087,6.0,332,8
12088,6.333333333333333,332,8
12101,7.0,1956,16
12102,7.0,1963,17
12103,0.9166666666666666,1478,13
12104,1.5833333333333333,1478,13
12105,16.166666666666668,971,26
12106,16.166666666666668,972,27
12107,22.75,1408,11
12108,0.25,1408,11
12109,4.583333333333333,260,10
12110,4.716666666666667,260,10
12111,12.166666666666666,676,14
12112,11.333333333333334,676,14
12113,15.75,895,9
12114,15.166666666666666,895,9
12115,8.083333333333334,456,14
12116,8.083333333333334,457,15
12117,4.416666666666667,244,10
12118,4.416666666666667,244,10
12119,2.75,180,5
12120,3.1666666666666665,180,5
12121,13.916666666666666,883,7
12122,14.333333333333334,886,7
12123,3.25,191,5
12124,3.1666666666666665,191,4
12125,3.4166666666666665,190,8
12126,3.4166666666666665,190,7
12127,3.283333333333333,191,6
12128,3.1666666666666665,191,5
12129,9.75,2026,30
12130,9.0,2033,30
12131,6.0,330,8
12132,6.083333333333332,330,8
12133,14.633333333333333,903,14
12134,14.5,909,14
12135,15.75,895,18
12136,15.166666666666666,895,18
12137,10.25,1910,56
12138,9.916666666666666,1913,54
12139,15.166666666666666,841,33
12140,15.0,841,33
12141,4.416666666666668,1693,14
12142,4.166666666666667,1692,13
12143,3.3333333333333335,1540,14
12144,4.25,1541,14
12145,10.916666666666666,1888,27
12146,10.083333333333334,1895,27
12147,8.083333333333334,1897,22
12148,10.5,1900,22
12149,6.583333333333332,1757,19
12150,6.583333333333332,1756,19
12151,11.833333333333334,2089,24
12152,10.25,2095,23
12153,12.916666666666666,820,10
12154,13.166666666666666,820,10
12155,10.916666666666666,681,10
12156,10.166666666666666,683,10
12157,4.0,265,4
12158,4.0,265,4
12159,13.166666666666666,725,20
12160,13.0,725,20
12161,20.583333333333332,1320,21
12162,23.416666666666668,1320,21
12163,23.25,1278,24
12164,23.166666666666668,1281,22
12165,1.7,1488,16
12166,1.1666666666666667,1487,16
12167,3.1666666666666665,1500,13
12168,2.0,1500,13
12169,4.0,265,5
12170,4.083333333333333,265,5
12171,5.333333333333333,1756,12
12172,5.0,1759,12
12173,2.6666666666666665,1581,13
12174,4.166666666666667,1581,13
12175,23.5,1291,31
12176,23.5,1292,31
12177,2.5833333333333335,1451,34
12178,2.3333333333333335,1453,34
12179,6.0,323,14
12180,5.916666666666667,323,14
12181,17.916666666666668,1024,22
12182,17.25,1024,22
12183,13.666666666666666,754,11
12184,13.666666666666666,754,11
12185,10.0,555,15
12186,10.0,557,15
12187,16.75,996,15
12188,16.5,996,15
12189,17.5,937,29
12190,17.5,938,28
12191,17.166666666666668,1021,24
12192,18.333333333333332,1019,24
12193,6.416666666666667,1747,20
12194,6.75,1734,20
12195,6.75,375,14
12196,6.666666666666667,375,14
12197,8.75,484,11
12198,8.666666666666666,484,11
12201,3.5,1513,25
12202,3.0,1517,25
12203,6.166666666666667,1711,23
12204,6.0,1714,23
12205,5.833333333333332,304,7
12206,5.75,304,7
12207,15.25,768,16
12208,15.416666666666666,768,16
12209,8.583333333333334,415,12
12210,9.416666666666666,415,12
12211,21.333333333333332,1057,14
